rank,name,author,link,star,fork,language,issues,description,last_commit
85,react-native-vision-camera,mrousavy,https://github.com/mrousavy/react-native-vision-camera,7816,1128,Swift,125,"📸 A powerful, high-performance React Native Camera library.",2025-01-10T14:36:39Z
86,facebook-ios-sdk,facebook,https://github.com/facebook/facebook-ios-sdk,7814,3575,Swift,217,Used to integrate the Facebook Platform with your iOS & tvOS apps.,2025-01-09T22:17:14Z
87,Clipy,Clipy,https://github.com/Clipy/Clipy,7791,647,Swift,225,Clipboard extension app for macOS.,2024-06-29T14:02:13Z
88,Sourcery,krzysztofzablocki,https://github.com/krzysztofzablocki/Sourcery,7742,624,Swift,66,"Meta-programming for Swift, stop writing boilerplate code.",2024-12-29T12:34:06Z
89,SwiftDate,malcommac,https://github.com/malcommac/SwiftDate,7647,766,Swift,73,"🐔 Toolkit to parse, validate, manipulate, compare and display dates, time & timezones in Swift.",2023-09-19T09:59:48Z
90,Kitura,Kitura,https://github.com/Kitura/Kitura,7628,496,Swift,76,A Swift web framework and HTTP server.,2022-10-07T05:43:45Z
91,JTAppleCalendar,patchthecode,https://github.com/patchthecode/JTAppleCalendar,7591,812,Swift,74,The Unofficial Apple iOS Swift Calendar View. Swift calendar Library. iOS calendar Control. 100% Customizable,2024-07-23T19:01:40Z
92,ReSwift,ReSwift,https://github.com/ReSwift/ReSwift,7565,519,Swift,46,Unidirectional Data Flow in Swift - Inspired by Redux,2024-04-22T14:51:58Z
93,MochiDiffusion,MochiDiffusion,https://github.com/MochiDiffusion/MochiDiffusion,7537,355,Swift,15,Run Stable Diffusion on Mac natively,2024-12-23T00:34:37Z
94,Lona,Lona,https://github.com/Lona/Lona,7531,267,Swift,18,"A tool for defining design systems and using them to generate cross-platform UI code, Sketch files, and other artifacts.",2023-01-04T21:40:53Z
95,Loop,MrKai77,https://github.com/MrKai77/Loop,7523,152,Swift,78,Window management made elegant.,2025-01-10T23:24:43Z
96,SwiftMessages,SwiftKickMobile,https://github.com/SwiftKickMobile/SwiftMessages,7369,748,Swift,40,A very flexible message bar for UIKit and SwiftUI.,2024-09-23T14:52:57Z
97,Cartography,robb,https://github.com/robb/Cartography,7337,526,Swift,61,A declarative Auto Layout DSL for Swift :iphone::triangular_ruler:,2023-11-07T11:29:48Z
98,secretive,maxgoedjen,https://github.com/maxgoedjen/secretive,7317,160,Swift,129,Store SSH keys in the Secure Enclave,2025-01-06T00:27:45Z
99,ViewAnimator,marcosgriselli,https://github.com/marcosgriselli/ViewAnimator,7314,485,Swift,7,ViewAnimator brings your UI to life with just one line,2024-03-31T11:37:25Z
100,react-native-video,TheWidlarzGroup,https://github.com/TheWidlarzGroup/react-native-video,7275,2909,Swift,147,A <Video /> component for react-native,2025-01-10T11:09:14Z
