rank,name,author,link,star,fork,language,issues,description,last_commit
68,MATLABRobotics,AtsushiSakai,https://github.com/AtsushiSakai/MATLABRobotics,620,322,MATLAB,2,MATLAB sample codes for mobile robot navigation,2018-11-10T23:36:18Z
69,BeatTheBookie,Lisandro79,https://github.com/Lisandro79/BeatTheBookie,620,148,MATLAB,2,Betting Strategy to Beat the Bookies at Football Games,2021-10-04T15:11:23Z
70,automated-driving-control,VincentWong3,https://github.com/VincentWong3/automated-driving-control,619,284,MATLAB,7,None,2020-12-04T13:45:46Z
71,CBIG,ThomasYeoLab,https://github.com/ThomasYeoLab/CBIG,618,391,MATLAB,15,None,2024-08-05T08:21:03Z
72,SelfExSR,jbhuang0604,https://github.com/jbhuang0604/SelfExSR,614,272,MATLAB,8,Single Image Super-Resolution from Transformed Self-Exemplars (CVPR 2015),2016-05-31T16:29:23Z
73,ECO,martin-danelljan,https://github.com/martin-danelljan/ECO,613,247,MATLAB,16,Matlab implementation of the ECO tracker.,2019-10-24T11:11:11Z
74,ICNet,hszhao,https://github.com/hszhao/ICNet,604,198,MATLAB,27,"ICNet for Real-Time Semantic Segmentation on High-Resolution Images, ECCV2018",2022-04-15T20:07:00Z
75,TIGRE,CERN,https://github.com/CERN/TIGRE,604,192,MATLAB,71,TIGRE: Tomographic Iterative GPU-based Reconstruction Toolbox,2024-12-13T14:21:44Z
76,kalibr_allan,rpng,https://github.com/rpng/kalibr_allan,603,216,MATLAB,8,IMU Allan standard deviation charts for use with Kalibr and inertial kalman filters.,2020-06-21T16:54:04Z
77,IRCNN,cszn,https://github.com/cszn/IRCNN,602,172,MATLAB,11,"Learning Deep CNN Denoiser Prior for Image Restoration (CVPR, 2017) (Matlab)",2021-10-09T22:03:58Z
78,NaveGo,rodralez,https://github.com/rodralez/NaveGo,592,214,MATLAB,12,NaveGo: an open-source MATLAB/GNU Octave toolbox for processing integrated navigation systems and performing inertial sensors analysis.,2024-02-24T15:09:52Z
79,refinenet,guosheng,https://github.com/guosheng/refinenet,592,158,MATLAB,0,RefineNet: Multi-Path Refinement Networks for High-Resolution Semantic Segmentation,2019-06-01T05:40:49Z
80,CourseraMachineLearning,vkosuri,https://github.com/vkosuri/CourseraMachineLearning,585,264,MATLAB,0,Coursera Machine Learning By Prof. Andrew Ng,2019-08-28T14:44:00Z
81,EconometricsResources,zuster,https://github.com/zuster/EconometricsResources,584,110,MATLAB,2,经济学相关专业资料集,2022-12-15T03:09:33Z
82,voc-dpm,rbgirshick,https://github.com/rbgirshick/voc-dpm,579,305,MATLAB,19,Object detection system using deformable part models (DPMs) and latent SVM (voc-release5). You may want to use the latest tarball on my website. The github code may include code changes that have not been tested as thoroughly and will not necessarily reproduce the results on the website.,2017-04-03T16:06:41Z
83,MatlabFunc,ZJULearning,https://github.com/ZJULearning/MatlabFunc,570,266,MATLAB,2,Matlab codes for feature learning,2020-10-02T15:25:17Z
84,Signals-and-Systems-course,VipaiLab,https://github.com/VipaiLab/Signals-and-Systems-course,568,129,MATLAB,0,浙江大学信电学院2022信号与系统课程资料,2022-07-16T04:20:49Z
85,PIDtoolbox,bw1129,https://github.com/bw1129/PIDtoolbox,565,76,MATLAB,0,PIDtoolbox is a set of graphical tools for analyzing blackbox log data,2024-10-02T17:47:03Z
86,automatic-driving-decision-and-planning-for-matlab,VincentWong3,https://github.com/VincentWong3/automatic-driving-decision-and-planning-for-matlab,561,238,MATLAB,4,None,2022-08-06T16:42:56Z
87,Detect-Track,feichtenhofer,https://github.com/feichtenhofer/Detect-Track,553,109,MATLAB,18,"Code release for ""Detect to Track and Track to Detect"", ICCV 2017",2018-07-03T16:38:41Z
88,netvlad,Relja,https://github.com/Relja/netvlad,549,122,MATLAB,0,NetVLAD: CNN architecture for weakly supervised place recognition,2017-07-22T17:41:15Z
89,Exposure_Correction,mahmoudnafifi,https://github.com/mahmoudnafifi/Exposure_Correction,545,68,MATLAB,6,"Project page of the paper ""Learning Multi-Scale Photo Exposure Correction"" (CVPR 2021).",2023-12-24T01:15:11Z
90,Exclusively-Dark-Image-Dataset,cs-chan,https://github.com/cs-chan/Exclusively-Dark-Image-Dataset,542,104,MATLAB,9,"Exclusively Dark (ExDARK) dataset which to the best of our knowledge, is the largest collection of low-light images taken in very low-light environments to twilight (i.e 10 different conditions) to-date with image class and object level annotations.",2023-08-29T07:46:58Z
91,Stanford-Machine-Learning-Course,zhouxc,https://github.com/zhouxc/Stanford-Machine-Learning-Course,528,354,MATLAB,0,machine learning course programming exercise,2011-12-25T10:04:23Z
92,cfnet,bertinetto,https://github.com/bertinetto/cfnet,523,153,MATLAB,24,[CVPR'17] Training a Correlation Filter end-to-end allows lightweight networks of 2 layers (600 kB) to high performance at fast speed..,2018-05-31T13:59:08Z
93,SFD,sfzhang15,https://github.com/sfzhang15/SFD,521,133,MATLAB,1,"S³FD: Single Shot Scale-invariant Face Detector, ICCV, 2017",2018-10-17T15:02:16Z
94,OpenCE,baidut,https://github.com/baidut/OpenCE,515,151,MATLAB,6,Contrast Enhancement Techniques for low-light images,2018-06-28T09:14:34Z
95,DeepXi,anicolson,https://github.com/anicolson/DeepXi,502,127,MATLAB,5,Deep Xi: A deep learning approach to a priori SNR estimation implemented in TensorFlow 2/Keras. For speech enhancement and robust ASR.,2022-02-17T04:28:56Z
96,YALMIP,yalmip,https://github.com/yalmip/YALMIP,497,138,MATLAB,52,MATLAB toolbox for optimization modeling,2025-01-10T11:51:42Z
97,MBeautifier,davidvarga,https://github.com/davidvarga/MBeautifier,492,76,MATLAB,26,"MBeautifier is a MATLAB source code formatter, beautifier. It can be used directly in the MATLAB Editor and it is configurable.",2024-02-23T17:42:34Z
98,AMSoftmax,happynear,https://github.com/happynear/AMSoftmax,488,129,MATLAB,6,A simple yet effective loss function for face verification.,2018-08-03T02:13:10Z
99,Notes-ML-AndrewNg,scruel,https://github.com/scruel/Notes-ML-AndrewNg,487,155,MATLAB,0,Coursera吴恩达机器学习课程笔记及资源整理,2024-03-18T09:18:48Z
100,fashion-detection,liuziwei7,https://github.com/liuziwei7/fashion-detection,483,110,MATLAB,5,Fashion Detection in the Wild (Deep Clothes Detector),2021-10-09T02:24:08Z
